szemaz	nev
1202	Szőczey Sándor
1203	Szőcs Pál
1204	Szőke Gyula
1205	Szőkefalvi-Nagy Béla
1206	Szőllősi László
1207	Szőllősy András
1198	Szőnyi Erzsébet
1208	Szőnyi István
1199	Szörényi Éva
1200	Szörényi Levente
1201	Szörényi Szabolcs
1209	Szőts István
1210	Sztankay István
1211	Sztevanovity Zorán
1212	Szűcs László
1213	Szűcs Mihály
1214	Szvetnik Joachim
1233	Tábori Nóra
1215	Tajkov András
1216	Takács Antal
1217	Takács Paula
1403	Takács Zsuzsa
1218	Takáts Gyula
1219	Tamási Áron
1220	Tandori Dezső
1221	Tandori Károly
1222	Tangl Harald
1223	Tar Imre
1224	Tar Lajos
1234	Tárczy-Hornoch Antal
1225	Tarján Ferenc
1226	Tarján Gusztáv
1227	Tarján Imre
1228	Tarnóczy Júlia
1229	Tarr Béla
1230	Tasnádi Andrásné
1231	Tatay Sándor
1235	Tátrai Vilmos
1232	Taub János
1236	Temesszentandrási Guidó
1237	Tengely István
1238	Tersánszky Józsi Jenő
1239	Tettamanti Károly
1240	Tháli Sándor
1241	Thoma József
1243	Tímár József
1242	Tiszay Magda
1251	Tófalvi Gyula
